topic,question,image_url,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Наука и природа,Сколько сердец у осьминога?,/pictures/q001.jpg,1,2,3,4,C,"У осьминога 3 сердца: два качают кровь к жабрам, одно — по телу. А ещё их кровь голубая!",1
Наука и природа,Какой газ составляет большую часть атмосферы Земли?,/pictures/q002.jpg,Кислород,Азот,Углекислый газ,Аргон,B,Азот составляет около 78% атмосферы. Кислород — только 21%!,1
Наука и природа,Какая планета Солнечной системы самая горячая?,/pictures/q003.jpg,Меркурий,Венера,Марс,Юпитер,B,Венера горячее Меркурия благодаря парниковому эффекту — до 465°C!,2
Наука и природа,Какой океан самый большой на Земле?,/pictures/q004.jpg,Атлантический,Индийский,Тихий,Северный Ледовитый,C,"Тихий океан покрывает больше площади, чем вся суша Земли вместе взятая!",1
Наука и природа,Из чего состоит ядро атома?,/pictures/q005.jpg,Электроны и протоны,Протоны и нейтроны,Только протоны,Только нейтроны,B,Ядро атома состоит из протонов и нейтронов. Электроны вращаются вокруг ядра.,2
Наука и природа,Какой элемент самый лёгкий во Вселенной?,/pictures/q006.jpg,Гелий,Кислород,Водород,Литий,C,Водород — самый лёгкий и самый распространённый элемент во Вселенной.,1
Наука и природа,"Какое животное спит, держась за лапки?",/pictures/q007.jpg,Коала,Выдра-речная,Панда,Ленивец,B,"Выдры спят на спине, держась за лапки, чтобы не расплыться по течению. Очаровательно!",2
Наука и природа,Сколько костей в теле взрослого человека?,/pictures/q008.jpg,106,206,306,156,B,У взрослого человека 206 костей. А вот у младенцев — около 270!,1
Наука и природа,Почему Плутон лишился статуса планеты в 2006 году?,/pictures/q009.jpg,Слишком холодный,Слишком маленький,Не очистил орбиту от мусора,Вращается задом,C,МСО сформулировал 3 критерия планеты. Плутон не прошёл третий — не очистил окрестности орбиты.,3
Наука и природа,Какое самое быстрое животное на Земле?,/pictures/q010.jpg,Гепард,Сокол-сапсан,Меч-рыба,Страус,B,Сокол-сапсан в пикировании развивает до 390 км/ч! Гепард — только 120 км/ч.,2
Наука и природа,Температура молнии может быть в 5 раз выше температуры Солнца. Сколько это?,/pictures/q011.jpg,10 000°C,30 000°C,50 000°C,100 000°C,B,Молния разогревает воздух до ~30 000°C. Поверхность Солнца — всего ~5 500°C!,3
Наука и природа,Какой металл жидкий при комнатной температуре?,/pictures/q012.jpg,Свинец,Ртуть,Галлий,Цинк,B,"Ртуть — единственный металл, жидкий при комнатной температуре (плавится при -39°C).",1
Кино и сериалы,Какой фильм первым собрал миллиард долларов в прокате?,/pictures/q013.jpg,Титаник,Аватар,Мстители,Парк Юрского периода,A,Титаник (1997) первым преодолел рубеж в $1 млрд. Потом его обогнал Аватар.,2
Кино и сериалы,Кто играл Дона Корлеоне в «Крёстном отце»?,/pictures/q014.jpg,Роберт Де Ниро,Аль Пачино,Марлон Брандо,Джек Николсон,C,Марлон Брандо создал культовый образ. Он разговаривал с ватой во рту для характерного голоса.,1
Кино и сериалы,В каком фильме звучит фраза «Я — твой отец»?,/pictures/q015.jpg,Звёздные войны: Эпизод 5,Терминатор,Матрица,Чужой,A,"Это одна из самых узнаваемых реплик в кино. Лукас снимал сцену так, что актёры не знали!",2
